,id,question,A,B,C,D,answer,explanation,option_type,source,level
886,1475,在人际吸引的影响因素中，可视为相似性的特殊形式的是（　　）。,熟悉,互补,邻近,竞争,B,当双方在某些方面看起来互补时，彼此的喜欢也会增加。互补可视为相似性的特殊形式。,单选,2008.11,3
680,1091,MMPI是（　　）。,智力量表,投射量表,适应量表,自陈量表,D,明尼苏达多相人格测验（MMPI）问世于1943年，由明尼苏达大学教授哈特卫和麦金利合作编制而成。该测验的问世是自陈法人格测验发展史上的一个重要里程碑，对人格测验的研究进程产生了巨大影响。,单选,2010.11,3
1472,2473,"“希望自己有丰厚的收入、有一个稳定的工作”，这属于（　　）。
 ",生理需要	 ,安全需要	 ,尊重需要	 ,爱的需要,B,安全的需要指人对安全、秩序、稳定以及免除恐惧和焦虑的需要。它表现为人都希望自己有丰厚的收入，有一个稳定的工作，希望生活在安全、有秩序、可以预测和熟悉的环境中，喜欢做自己熟悉的工作等。这种需要得不到满足，人就会感到威胁和恐惧。,单选,2014.11,2
1837,3074,"在计算标准分数的公式Z=（X—X）/SD中，SD为（　　）。
 ",样本标准差	 ,原始分数	 ,样本平均数	 ,标准分数,A,在计算标准分数的公式中，x为任一原始分数，x为样本平均数，SD为样本标准差，z分数可以用来表示某一分数与平均数之差是标准差的几倍。,单选,2013.5,2
549,867,16PF的题目形式是（　　）。,是非式	 ,折中是非式	 ,选择式	 ,文字等级式,B,16PF的每一测题有三个可供选择的答案（A、B、C），答卷纸上相应地附有三个方格，请被试者将所选择的答案以“×”为符号，填到相应的方格内。如果选择A，就在第一个方格内划“×”；选择B，就在第二个方格内划“×”；选择C，就在第三个方格内划“×”。,单选,2014.5,3
872,1423,若人格类型为中间型，则EPQ各量表T分的范围是（　　）。,5.45～17.5,17.5～30.1,30.1～43.3,43.3～56.7,D,根据标准差的面积分布，规定EPQ各量表的T分在43.3～56.7分之间为中间型，各量表的T分在38.5～43.3分或56.7～61.5分之间为倾向型，而T分在38.5分以下或61.5分以上为典型型。,单选,2008.5,3
262,411,中国修订的韦氏成人智力量表包括的分测验是（　　）。,10个	 ,11个	 ,12个	 ,13个,B,WAIS—RC量表包括11个分测验，其中言语测验包括6部分：词汇、数字广度、相似性、算术、领悟、知识；操作测验包括5部分：数字符号、拼图、图片排列、积木、填图。,单选,2013.11,3
643,1054,模仿的意义不包括（　　）。,具有适应作用,是学习的基础,影响他人的方式,会促进群体形成,C,模仿是在没有外在压力的条件下，个体受他人的影响仿照他人，使自己与他人相同或相似的现象。模仿的意义主要体现在:①模仿是学习的基础；②适应作用；③促进群体形成。,单选,2010.11,3
533,851,在进行摄入性会谈的过程中，控制会谈和转换话题的技巧不包括（　　）。,中断	 ,引导	 ,解释	 ,释义,C,控制会谈和转换话题的技巧很多，而且可以随机应变。最常用的方法是“释义”，再一个方法就是中断，也可以使用情感的反射作用。当心理咨询师有经验而且足够机敏时，他们最常用的方法是引导，即由目前的话题引向另一话题。引导不是直接建议转换话题，而是由原来的话题引申出新话题。,单选,2014.5,3
813,1318,在合理情绪疗法的修通阶段最常用的方法是（　　）。,行为技术,合理情绪想象技术,家庭作业,与不合理信念辩论,D,与不合理信念辩论、合理情绪想象技术、家庭作业均是合理情绪疗法在修通阶段所采用的技术，其中以与不合理信念辩论最为常用。,单选,2009.11,3
1225,2034,"常模样本对于所测群体应当具有较好的（　　）。
 ",跨时空性	 ,同一性	 ,非限制性	 ,代表性,D,构成常模团体的条件：①群体的构成必须明确界定；②常模团体必须是所测群体的代表性样本；③样本的大小要适当；④标准化样组是一定时空的产物。对测验编制者而言，常模的选择主要是基于对测验将要施测的总体的认识，常模团体必须能够代表该总体。,单选,2014.5,2
903,1492,对于人格障碍者，心理咨询的效果是（　　）。,良好的,极差的,有限的,未知的,C,心理咨询对于人格障碍及心理疾病边缘状态者的作用是很有限的。,单选,2008.11,3
